Title;AuthorID;PushIsherID;Pages;Dimension;Translator;Overview;InventoryQuantity;SalePrice;PublishedDate;isHidden
Dandadan, Vol. 5 (2023);Yukinobu Tatsu;VIZ Media LLC;0;24.54x15.84x2.34 cm;Kumar Sivasubramanian ;A nerd must fight powerful spirits and aliens all vying for the secret power of his “family jewel,” so who better to fight alongside him than his high school crush and a spirit granny?! Momo Ayase and Okarun are on opposite sides of the paranormal spectrum regarding what they’ll believe in and what they won’t. Their quest to prove each other wrong leads them down a path of secret crushes and paranormal battles they’ll have to participate in to believe! Okarun and the gang are off to a hot springs town to investigate the mystery of Jiji’s family. But when they get there, a strange family in cahoots with the police starts causing trouble for them, and before Okarun and the others can get to the bottom of the mystery, Momo ends up as an offering to the local god!;25;10.76;2010-10-23;false
The Ickabog - A warm and witty fairy-tale adventure to entertain the whole family (2020);J. K. Rowling;Hachette UK;355;24.05x16.50x1.93 cm;;The Ickabog is coming... A mythical monster, a kingdom in peril, an adventure that will test two children's bravery to the limit. Discover a brilliantly original fairy tale about the power of hope and friendship to triumph against all odds, from one of the world's best storytellers. The kingdom of Cornucopia was once the happiest in the world. It had plenty of gold, a king with the finest moustaches you could possibly imagine, and butchers, bakers and cheesemongers whose exquisite foods made a person dance with delight when they ate them. Everything was perfect - except for the misty Marshlands to the north which, according to legend, were home to the monstrous Ickabog. Anyone sensible knew that the Ickabog was just a myth, to scare children into behaving. But the funny thing about myths is that sometimes they take on a life of their own. Could a myth unseat a beloved king? Could a myth bring a once happy country to its knees? Could a myth thrust two children into an adventure they didn't ask for and never expected? If you're feeling brave, step into the pages of this book to find out... A beautiful digital edition, brought to life with full-colour illustrations by the young winners of The Ickabog competition.;2;6.32;2010-11-20;false
The Fall of Númenor: and Other Tales from the Second Age of Middle-earth (2022);J. R. R. Tolkien;HarperCollins UK;376;24.27x15.26x2.01 cm;;J.R.R. Tolkien’s writings on the Second Age of Middle-earth, collected for the first time in one volume.;10;10.22;2010-11-22;false
The Silmarillion (2022);J. R. R. Tolkien;HarperCollins UK;376;23.66x15.12x1.89 cm;;For the first time ever, a very special edition of the forerunner to The Lord of the Rings, illustrated throughout in colour by J.R.R. Tolkien himself and with the complete text.;10;8.41;2010-11-22;false
Frieren: Beyond Journey’s End, Vol. 2 (2022);Kanehito Yamada;VIZ Media LLC;200;22.85x15.92x1.07 cm;Misa “Japanese Ammo”;At Eisen’s urging, Frieren and her apprentice Fern head north seeking the land where heroes’ souls are said to rest, which also happens to be the location of the Demon King’s castle. Along the way, they meet Eisen’s apprentice, whose fighting skills may come in handy—though the Demon King is long gone, his surviving minions have unfinished business with Frieren! -- VIZ Media;38;11.1;2011-01-22;false
Cannery Row (2020);John Steinbeck;Penguin Random House;181;23.75x13.51x2.24 cm;;In this tough yet charming portrait of people on the margins of society, Steinbeck focuses on the acceptance of life as it is—both the exuberance of community and the loneliness of the individual. Drawing on his memories of friends in Monterey, California, he interweaves the stories of Lee, Doc, and Mack, the inhabitants of Cannery Row. What results is a procession of linked vignettes and a novel that is at once Steinbeck’s most humorous and poignant works, filled with human warmth, camaraderie, and love. Penguin Random House Canada is proud to bring you classic works of literature in e-book form, with the highest quality production values. Find more today and rediscover books you never knew you loved.;22;7.99;2011-02-20;false
Of Mice and Men (2020);John Steinbeck;Penguin Random House;105;24.01x15.21x1.52 cm;;George and Lennie are an unlikely pair: George is small and quick, and Lennie is a man of tremendous size and simple mind. But together they’ve formed a family, rallying against seclusion and alienation. As laborers in California’s vegetable fields in the Great Depression, they find work where they can, but they have big dreams of owning land and a shack they can call their own. So when they land jobs on a ranch in the Salinas Valley, their big dreams suddenly seem within reach. But George cannot guard the childlike Lennie from life’s provocations, nor can he predict the consequences of Lennie’s unswerving obedience to what George has taught him. A tragic and moving story of friendship, loneliness, and the dispossessed, Of Mice and Men is classic John Steinbeck—heart wrenching and remarkable. Penguin Random House Canada is proud to bring you classic works of literature in e-book form, with the highest quality production values. Find more today and rediscover books you never knew you loved.;45;10.42;2011-02-20;false
The Grapes of Wrath (2020);John Steinbeck;Penguin Random House;455;24.25x13.51x2.49 cm;;An epic human drama depicting the devastating effects of the Great Depression, The Grapes of Wrath won both the National Book Award and the Pulitzer Prize, cementing its place as the most American of American classics. First published in 1939, Steinbeck’s novel chronicles the Dust Bowl migration of the 1930s and tells the story of one Oklahoma farm family, the Joads, driven from their homestead and forced to travel west to the promised land of California. Out of their repeated collisions with hard realities of an America divided into the Haves and Have-Nots evolves a drama intensely human and yet magnificent in scale and moral. An evocative portrait of the conflict between powerful and powerless, of one man’s fierce reaction to injustice, and of one woman’s stoical strength, The Grapes of Wrath probes into the very nature of equality and justice in America. Penguin Random House Canada is proud to bring you classic works of literature in e-book form, with the highest quality production values. Find more today and rediscover books you never knew you loved.;9;8.84;2011-02-20;false
The Works of William Shakespeare. Life, Glossary. Reprinted from the Early Editions and Compared with Recent Commentators - Vol. VI (2024);William Shakespeare;BoD – Books on Demand;722;24.62x16.22x2.15 cm;;Reprint of the original, first published in 1875.;45;7.26;2011-03-24;false
The Hobbit Deluxe Illustrated Edition (2024);J. R. R. Tolkien;HarperCollins;0;23.84x16.10x2.01 cm;;"For the first time ever, a beautiful slipcased edition of the enchanting prelude to The Lord of the Rings, illustrated throughout with over 50 sketches, drawings, paintings, and maps by J.R.R. Tolkien himself, with the complete text printed in two colors and with many bonus features unique to this edition. Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely travelling further than the pantry of his hobbit-hole in Bag End. But his contentment is disturbed when the wizard, Gandalf, and a company of thirteen dwarves arrive on his doorstep one day to whisk him away on an unexpected journey ""there and back again."" They have a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon... Written for J.R.R. Tolkien's own children, The Hobbit was published on 21 September 1937. With a beautiful cover design, a handful of black & white drawings and two maps by the author himself, the book became an instant success and was reprinted shortly afterwards with five color plates. Tolkien's own selection of finished paintings and drawings have become inseparable from his text, adorning editions of The Hobbit for more than 85 years. But the published art has afforded only a glimpse of Tolkien's creative process, and many additional sketches, colored drawings, and maps--although exhibited and published elsewhere--have never appeared within the pages of The Hobbit. In this unique enhanced edition of Tolkien's enchanting classic tale, the full panoply of his art is reproduced for the first time, presenting more than 50 illustrations to accompany Bilbo Baggins on his adventure ""there and back again."" Unique to this edition are two poster-size, fold-out maps revealing all the detail of Thror's Map and Wilderland, an illustrated 88-page booklet, and a printed art card reproducing Tolkien's original dustjacket painting. It is additionally quarterbound in green leather, with raised ribs on the spine, stamped in three foils on black cloth boards, and housed in a custom-built clothbound slipcase. The pages are edged in gold and include a ribbon marker.";15;7.75;2011-03-24;false
Dandadan, Vol. 3 (2023);Yukinobu Tatsu;VIZ Media LLC;0;22.98x14.57x1.06 cm;Kumar Sivasubramanian ;A nerd must fight powerful spirits and aliens all vying for the secret power of his “family jewel,” so who better to fight alongside him than his high school crush and a spirit granny?! Momo Ayase and Okarun are on opposite sides of the paranormal spectrum regarding what they’ll believe in and what they won’t. Their quest to prove each other wrong leads them down a path of secret crushes and paranormal battles they’ll have to participate in to believe! Okarun, a high school boy obsessed with supernatural phenomena, has lost his precious family jewels in a battle with Turbo Granny! His classmate Aira ends up finding one, and it awakens spiritual powers within her. Around this same time, a strange woman in a red dress appears at the school and attacks Aira, Okarun, and Momo! Who is she, and what’s with her obsession with Aira?;46;9.25;2011-04-23;false
Oliver Twist - The Parish Boy's Progress - With Appreciations and Criticisms By G. K. Chesterton (2015);Charles Dickens;Read Books Ltd;330;24.66x13.00x1.14 cm;;Charles Dickens's second novel, “Oliver Twist” was first published as a serial from 1837 to 1839 and centres around the story of orphan Oliver Twist, who was born in a workhouse and sold as an apprentice to an undertaker. When he manages to escape, Oliver travels to London where he encounters the “Artful Dodger” and his gang of pickpockets. A gritty representation of the London underworld, “Oliver” famously exposed the hardships of the poor, especially the terrible treatment of orphans in the mid-19th century. Charles John Huffam Dickens (1812–1870) was an English writer and social critic famous for having created some of the world's most well-known fictional characters. His works became unprecedentedly popular during his life, and today he is commonly regarded as the greatest Victorian-era novelist. Although perhaps better known for such works as “Great Expectations” or “A Christmas Carol”, Dickens first gained success with the 1836 serial publication of “The Pickwick Papers”, which turned him almost overnight into an international literary celebrity thanks to his humour, satire, and astute observations concerning society and character. This classic work is being republished now in a new edition complete with an introductory chapter from “Appreciations and Criticisms of the Works of Charles Dickens” by G. K. Chesterton.;25;10.39;2011-05-15;false
The Art of the Lord of the Rings (2023);J. R. R. Tolkien;HarperCollins;0;22.83x15.96x1.29 cm;;"A sumptuous full-colour art book containing the complete collection of almost 200 sketches, drawings, paintings and maps created by J.R.R. Tolkien for The Lord of the Rings. As he wrote The Lord of the Rings, J.R.R. Tolkien's mental pictures often found expression in drawing, from rough sketches made within the manuscript to more finished illustrations. Only a few of these were meant for publication; most were aids to help Tolkien conceive his complex story and keep it consistent. Many do not illustrate the final text, but represent moments of creation, illuminating Tolkien's process of writing and design. In addition to pictorial sketches, numerous maps follow the development of the Shire and the larger landscape of Middle-earth, while inscriptions in runes and Elvish script, and 'facsimile' leaves from the burned and blood-stained Book of Mazarbul, support Tolkien's pose as an 'editor' or 'translator' of ancient records. The Art of The Lord of the Rings by J.R.R. Tolkien collects these drawings, inscriptions, maps, and plans in one volume. More than 180 images are included, all of them printed in colour from high-quality scans and photographs. Wayne G. Hammond and Christina Scull, two of the world's leading Tolkien scholars, have edited the book and provide an expert introduction and comments. Readers who have enjoyed The Art of The Hobbit by J.R.R. Tolkien, with which the book is uniform, will find much of interest also in The Art of The Lord of the Rings.";21;7.02;2011-05-23;false
Harry Potter and the Order of the Phoenix - Ravenclaw Edition (2020);J. K. Rowling;Bloomsbury Publishing;816;23.09x13.11x1.21 cm;;Ravenclaw values are under attack as the Minister for Magic tries to suppress the truth and a High Inquisitor of Hogwarts is appointed in Harry's fifth year. Professor Sybill Trelawney, visionary Seer, is one of the first casualities of Professor Umbridge's mirthless regime. Luna Lovegood ensures that the truth is given voice through that most independent of publications, The Quibbler. This Ravenclaw edition of Harry Potter and the Order of the Phoenix celebrates the house famed for its wit, learning and wisdom.;15;9.84;2011-06-20;false
Harry Potter and the Order of the Phoenix - Slytherin Edition (2020);J. K. Rowling;Bloomsbury Publishing;816;22.30x13.90x1.68 cm;;Slytherin house is in the ascendant as Dumbledore is ousted from Hogwarts and the Inquisitorial Squad patrols the corridors in Harry Potter's fifth year. Slytherins must choose sides. Severus Snape plays a dangerous game of deception. The ancient house of Black is divided as Bellatrix Lestrange, the Dark Lord's devoted acolyte, faces her cousin Sirius Black in mortal combat. This Slytherin edition of Harry Potter and the Order of the Phoenix celebrates the house fames for is pride, ambition and cunning.;27;8.47;2011-06-20;false
Dandadan, Vol. 4 (2023);Yukinobu Tatsu;VIZ Media LLC;0;23.15x14.18x1.29 cm;Kumar Sivasubramanian ;A nerd must fight powerful spirits and aliens all vying for the secret power of his “family jewel,” so who better to fight alongside him than his high school crush and a spirit granny?! Momo Ayase and Okarun are on opposite sides of the paranormal spectrum regarding what they’ll believe in and what they won’t. Their quest to prove each other wrong leads them down a path of secret crushes and paranormal battles they’ll have to participate in to believe! The banana-stealing Serpoians are back! And they’ve trapped Okarun, Momo, and Aira in a void to have another go at stealing their reproductive organs. The subsequent battle causes the powers of the Acrobatic Silky dwelling within Aira to awaken, and she temporarily joins forces with Momo and Okarun. But will they be any match for their opponents after the aliens merge with their minions to form an even greater being?!;45;11.71;2011-07-23;false
Harry Potter and the Order of the Phoenix - Deluxe Illustrated Slipcase Edition (2022);J. K. Rowling;Bloomsbury Publishing;0;22.03x16.54x1.94 cm;;"Prepare to be spellbound by the stunning illustration inside this new collector's edition of Harry Potter and the Order of the Phoenix. Troubled times have come to Hogwarts in a year filled with secrets, subterfuge and suspicion. The deliciously dark fifth instalment of Jim Kay's inspired reimagining of J.K. Rowling's Harry Potter series is an epic artistic achievement, featuring over 160 illustrations in an astonishing range of visual styles. Now an exciting new collaboration brings together two virtuoso artistic talents, as Kate Greenaway Medal winner Jim Kay is joined by acclaimed guest illustrator Neil Packer, winner of the 2021 BolognaRagazzi Award for non-fiction. Jim Kay depicts J.K. Rowling's wizarding world with the dazzling artistic alchemy fans around the globe have come to know and love, perfectly complemented by Neil Packer's own unique and eclectic illustrations, skilfully woven into the heart of the story. Breathtaking scenes, iconic locations and unforgettable characters await inside – Luna Lovegood, Professor Umbridge, Grawp the giant, and many more – as Harry Potter and Dumbledore's Army prepare for the coming battle against Lord Voldemort. This beautiful, deluxe edition features an opulent page size and intricate gold foiled line art set on a jet-black cloth cover and slipcase; gilt edges on premium grade paper; head and tail bands and two ribbon markers. Each copy is also accompanied by an exclusive fold-out souvenir poster to keep and enjoy. This is the ultimate must-have edition for any Potter fan, collector or bibliophile.";42;7.24;2011-10-22;false
Harry Potter and the Order of the Phoenix (2022);J. K. Rowling;Bloomsbury Publishing;0;24.03x16.65x1.93 cm;;As the Order of the Phoenix keeps watch over Harry Potter, troubled times have come to Hogwarts in a year filled with secrets, subterfuge and suspicion. The deliciously dark fifth instalment of Jim Kay's inspired reimagining of J.K. Rowling's classic series is an epic artistic achievement, featuring over 160 illustrations in an astonishing range of visual styles. Now an exciting new collaboration brings together two virtuoso artistic talents, as Kate Greenaway Medal winner Jim Kay is joined by acclaimed guest illustrator Neil Packer, winner of the 2021 BolognaRagazzi Award for non-fiction. Prepare to be enchanted once again as Jim Kay depicts J.K. Rowling's wizarding world with the dazzling artistic alchemy fans around the globe have come to know and love, perfectly complemented by Neil Packer's own unique and eclectic illustrations, skilfully woven into the heart of the story. This is a stunning visual feast of a book, filled with dark magical delights for both fans and new readers alike. Breathtaking scenes, iconic locations and unforgettable characters await inside – Luna Lovegood, Professor Umbridge, Grawp the giant, and many more – as Harry Potter and Dumbledore's Army prepare for the coming battle against Lord Voldemort. Perfect for Potterheads of all ages! Picture the Magic Fully illustrated. Completely spellbinding.;27;7.27;2011-10-22;false
Harry Potter and the Order of the Phoenix: The Illustrated Edition (Harry Potter, Book 5) (Illustrated Edition) (2022);J. K. Rowling;Scholastic Inc.;576;24.94x15.34x1.08 cm;;"The fifth book in the beloved, bestselling Harry Potter series, now illustrated in brilliant full color. There is a door at the end of a silent corridor. And it's haunting Harry Potter's dreams. Why else would he be waking in the middle of the night, screaming in terror? It's not just the upcoming O.W.L. exams; a new teacher with a personality like poisoned honey; a venomous, disgruntled house-elf; or even the growing threat of He-Who-Must-Not-Be-Named. Now Harry Potter is faced with the unreliability of the very government of the magical world and the impotence of the authorities at Hogwarts. Despite this (or perhaps because of it), he finds depth and strength in his friends, beyond what even he knew; boundless loyalty; and unbearable sacrifice. Experience book five in the Harry Potter series illustrated in brilliant full color for the first time. With its oversized format, high-quality paper, ribbon bookmark, and color on nearly every page, this edition is the perfect gift for Harry Potter fans and book lovers of all ages.";50;6.14;2011-10-22;false
Dandadan, Vol. 1 (2022);Yukinobu Tatsu;VIZ Media LLC;208;22.72x14.90x1.32 cm;Kumar Sivasubramanian ;A nerd must fight powerful spirits and aliens all vying for the secret power of his “family jewel,” so who better to fight alongside him than his high school crush and a spirit granny?! Momo Ayase and Okarun are on opposite sides of the paranormal spectrum regarding what they’ll believe in and what they won’t. Their quest to prove each other wrong leads them down a path of secret crushes and paranormal battles they’ll have to participate in to believe! Momo Ayase strikes up an unusual friendship with her school’s UFO fanatic, whom she nicknames “Okarun” because he has a name that is not to be said aloud. While Momo strongly believes in spirits, she thinks aliens are nothing but nonsense. Her new friend, however, thinks quite the opposite. To settle matters, the two set out to prove each other wrong—Momo to a UFO hotspot and Okarun to a haunted tunnel! What unfolds next is a beautiful story of young love…and oddly horny aliens and spirits?;46;9;2011-10-22;false
Harry Potter Slytherin House Editions Hardback Box Set (2021);J. K. Rowling;Bloomsbury Publishing;3888;24.53x15.24x1.35 cm;;;2;10.04;2011-11-21;false
Sense and Sensibility. A Novel (2024);Jane Austen;BoD – Books on Demand;330;22.53x15.74x2.36 cm;;Reprint of the original, first published in 1882.;39;6.25;2012-03-24;false
One Piece, Vol. 107 (2024);Eiichiro Oda;VIZ Media LLC;0;24.74x15.30x1.42 cm;;Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, Luffy sets off in search of the One Piece, said to be the greatest treasure in the world... Having learned too much of the world’s history, Dr. Vegapunk is now the target of the CP0 assassins. Vegapunk’s only hope may be to ask for help from Luffy and the Straw Hat crew, but where are they? Chaos erupts on Egghead Island as the world government sends some powerful reinforcements.;44;8.56;2012-03-24;false
Sense and Sensibility - With Original Illustrations (2021);Jane Austen;Independently Published;370;22.69x13.96x2.17 cm;;'The more I know of the world, the more am I convinced that I shall never see a man whom I can really love. I require so much!' Marianne Dashwood wears her heart on her sleeve, and when she falls in love with the dashing but unsuitable John Willoughby she ignores her sister Elinor's warning that her impulsive behavior leaves her open to gossip and innuendo. Meanwhile, Elinor, always sensitive to social convention, is struggling to conceal her own romantic disappointment, even from those closest to her. Through their parallel experience of love-and its threatened loss-the sisters learn that sense must mix with sensibility if they are to find personal happiness in a society where status and money govern the rules of love. Sense and Sensibility is a delightful comedy of manners in which the sisters Elinor and Marianne represent these two qualities. Elinor's character is one of Augustan's detachment, while Marianne, a fervent disciple of the Romantic Age, learns to curb her passionate nature in the interests of survival. This book, the first of Austen's novels to be published, remains as fresh a cautionary tale today as it ever was.;22;11.22;2012-04-21;false
The Christmas Pig (2021);J. K. Rowling;Scholastic Inc.;266;24.98x14.73x1.36 cm;;A heartwarming, page-turning adventure about one child's love for his most treasured thing, and how far he will go to find it. A tale for the whole family to fall in love with, from one of the world’s greatest storytellers. One boy and his toy are about to change everything... Jack loves his childhood toy, Dur Pig. DP has always been there for him, through good and bad. Until one Christmas Eve something terrible happens -- DP is lost. But Christmas Eve is a night for miracles and lost causes, a night when all things can come to life... even toys. And Jack’s newest toy -- the Christmas Pig (DP’s replacement) – has a daring plan: Together they’ll embark on a magical journey to seek something lost, and to save the best friend Jack has ever known...;29;9.73;2012-10-21;false
Delicious in Dungeon, Vol. 7 (2019);Ryoko Kui;Yen Press LLC;220;23.88x16.19x2.25 cm;Taylor Engel;It's eat or be eaten...literally! Massive changes in the dungeon have drawn out new monsters for Laios and his party to take on-and taste! But the shift has attracted the attention of the western elves, whose intervention could spell further trouble not only for Laios, but also for everyone on the island! Facing the threat of the Lunatic Magician from within and the elves from without, the adventurers must rally as a team like never before, especially when forced to confront a beast straight out of Senshi's nightmares!;48;11.33;2012-11-19;false
Harry Potter and the Prisoner of Azkaban (2020);J. K. Rowling;Bloomsbury Publishing;180;22.55x16.10x1.84 cm;;Jim Kay's dazzling depiction of J.K. Rowling's wizarding world has won legions of fans since the first Illustrated Edition of the Harry Potter novels was published in hardback in 2015, becoming a bestseller around the world. This irresistible smaller-format paperback edition of Harry Potter and the Prisoner of Azkaban perfectly pairs J.K. Rowling's storytelling genius with Jim Kay's illustration wizardry, bringing the magic of Harry Potter to new readers with full-colour pictures and a handsome poster pull-out at the back of the book. This edition has been beautifully redesigned with selected illustration highlights, and is packed with breathtaking scenes and unforgettable characters - including Sirius Black, Remus Lupin and Professor Trelawney. The fully illustrated edition is still available in hardback.Fizzing with magic and brimming with humour, this inspired reimagining will captivate wizards and Muggles alike, as Harry, now in his third year at Hogwarts School of Witchcraft and Wizardry, faces Dementors, death omens and - of course - danger.;34;6.75;2012-11-20;false
Yotsuba&!, Vol. 10 (2011);Kiyohiko Azuma;Yen Press LLC;226;24.38x16.34x2.12 cm;Amy Forsyth;Yotsuba loooooves playing games! When Daddy's the counter at hide-and-seek, he can never find Yotsuba, 'cause I'm such a good hider! And when we go to the park, Yotsuba's the bestest at swing-tag-shoe-races. Daddy says Yotsuba's just making up the rules as we go along, but Yotsuba thinks Daddy's just a sour loser. But maybe Yotsuba will let him win once in a while...;1;10.02;2012-12-11;false
Yotsuba&!, Vol. 2 (2011);Kiyohiko Azuma;Yen Press LLC;194;23.96x14.82x2.31 cm;Amy Forsyth;Ohhhhh! Yotsuba's back! Today, Yotsuba was drawing Jumbo, okay? That's Daddy's REALLY, REALLY BIG friend. He's real nice and I guess a big baby. But he's too big to draw in Yotsuba's sketchbook! So Yotsuba drew Jumbo on the street in front of our house! Cool, huh? But Ena's friend Miura, who has wheels on her feet, said Yotsuba was bad at drawing...she's wrong, right? RIGHT!?;42;6.31;2012-12-11;false
Yotsuba&!, Vol. 3 (2011);Kiyohiko Azuma;Yen Press LLC;186;22.69x15.66x1.78 cm;Amy Forsyth;YOTSUBA heeeeeere! Guess what, guess what!? Yotsuba is going to a flower store with Fuuka! Yotsuba's gonna give flowers to everybody in the whole, wide world, even the police lady with her whistle that goes - PI! PI! PIPI! PI! PIPUUUUUUUU!!;49;11.56;2012-12-11;false
Yotsuba&!, Vol. 4 (2011);Kiyohiko Azuma;Yen Press LLC;194;22.97x14.62x2.33 cm;Amy Forsyth;*sniffle* Yotsuba thinks grown-ups are mean. Daddy plays all kinds of neat games with Yotsuba, but he ALWAYS WINS! Even when Yotsuba TELLS him to be paper in Rock-Paper-Scissors, he doesn't listen! Even then! Yotsuba never, ever wants to be a big meanie grown-up, nuh-uh! But grown-ups get to buy ice cream all by themselves, so...um...maybe it's okay to be a grown-up sometimes?;46;11.34;2012-12-11;false
Yotsuba&!, Vol. 5 (2011);Kiyohiko Azuma;Yen Press LLC;210;23.91x13.67x2.49 cm;Amy Forsyth;Yotsuba met a robot at Ena's house! Betcha haven't met one ever! It was THIIIIIS big - but not bigger than Jumbo or anything - and it ate money! Yotsuba's never met anyone who ate money before! Maybe it gets more powers with more money!? Yotsuba should try giving it more money next time! Huh...what happens when money-eating robots get full? Do they have to go to the little robots' room? Hmmmm...;20;11.89;2012-12-11;false
Yotsuba&!, Vol. 6 (2011);Kiyohiko Azuma;Yen Press LLC;210;23.32x13.88x2.10 cm;Amy Forsyth;Yotsuba's getting a biiiiike, Yotsuba's getting a biiiiiike!! Didja know the wheels of a bike go round and round and round and round and round and round and round and round and round and round and round and round and roun - oh, Yotsuba's getting dizzy...whoooooa...;23;6.56;2012-12-11;false
Yotsuba&!, Vol. 7 (2011);Kiyohiko Azuma;Yen Press LLC;210;24.42x16.42x2.09 cm;Amy Forsyth;Mooooo...! MOOOO...! Cows are neato! It's fun pretending to be a cow! And milk comes from cows, so I bet they're real nice too. 'Cos milk is super-yummy, right?! Yotsuba thinks so! And milk comes in lotsa flavors, so cows must come in different flavors too. How else is there white milk and coffee milk and chocolate milk?! Then there's the black and white cows, they've gotta make a super-secret special flavor, huh?! Yotsuba wants to know! Let's go ask the cows at the ranch, Daddy! Come on!;30;7.66;2012-12-11;false
Yotsuba&!, Vol. 8 (2011);Kiyohiko Azuma;Yen Press LLC;219;24.65x13.74x1.30 cm;Amy Forsyth;The ranch wasn't fun, huh? But maybe festivals will be less funner?! (Yotsuba's playing opposites, ha-ha!) Yotsuba got uninvited to Fuuka's school for a culr...a clart...a cultural festival! And she didn't promise Yotsuba there wouldn't be CAKE! Yotsuba doesn't want a cake as biiiiiig as Jumbo, nope!! You wouldn't either, now would you?! Ohhh! And then, and then! There ISN'T gonna be a great big festival for the whole town to go to! And Yotsuba isn't gonna work hard and help out there with Ena and Fuuka, nuh-uh! Not even for candy, nooooo way!;2;6.27;2012-12-11;false
Yotsuba&!, Vol. 9 (2011);Kiyohiko Azuma;Yen Press LLC;226;23.87x14.62x2.28 cm;Amy Forsyth;Beep-beep-beep! Yotsuba here, and riiiight on schedule! Every day is a fun day, and today's gonna be even funner than the rest. We're busy, busy, busy! We should write down a schedule so we don't forget what we gotta do...like go to the bathroom! And go to the berry gair...um, teddy bear store with Daddy! And try to fly! Omigosh, Yotsuba missed toilet time already! Noooo! What to do?! What to do?!;50;9.04;2012-12-11;false
One Piece (Omnibus Edition), Vol. 33 - Includes vols. 97, 98 & 99 (2023);Eiichiro Oda;VIZ Media LLC;0;22.05x14.40x1.86 cm;;Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, the One Piece. As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally ate the Gum-Gum Fruit, an enchanted Devil Fruit that gave him the ability to stretch like rubber. Its only drawback? He’ll never be able to swim again—a serious handicap for an aspiring sea dog! Years later, Luffy sets off on his quest to find the “One Piece,” said to be the greatest treasure in the world… Luffy and crew regroup on the Sunny, their trusty vessel, to continue the battle against fearsome Emperor Kaido. But when their backup doesn’t show, they have to go it alone against the pirate known as “the strongest creature alive.” Things look up when they’re joined by some unexpected allies in the land of Wano, but it turns out the enemy also has some surprising (and terrifying) friends!;31;10.64;2012-12-23;false
Blue Period 14 (2024);Tsubasa Yamaguchi;Kodansha America LLC;210;24.73x13.93x1.95 cm;Ajani A. Oloye ;For their second summer at TUA, Yatora and his art school friends stay at Momoyo's family temple. There, Yatora enters an art contest with hopes for the cash prize and a professional debut. However, as he works on his piece, he learns of Yakumo's friend Machiko-a remarkable young artist whose flame was extinguished too early.;26;10.62;2013-03-24;false
One Piece (Omnibus Edition), Vol. 34 - Includes vols. 100, 101 & 102 (2024);Eiichiro Oda;VIZ Media LLC;0;22.05x13.79x1.62 cm;;Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, the One Piece. As a child, Monkey D. Luffy dreamed of becoming King of the Pirates. But his life changed when he accidentally ate the Gum-Gum Fruit, an enchanted Devil Fruit that gave him the ability to stretch like rubber. Its only drawback? He’ll never be able to swim again—a serious handicap for an aspiring sea dog! Years later, Luffy sets off on his quest to find the “One Piece,” said to be the greatest treasure in the world… The war in Wano wages on as Luffy and his motley group of allies battle Kaido’s fearsome contingent. Right when it seems that Luffy’s side has been mortally wounded, Kaido’s daughter enters the fray to finish off the fight…but it turns out she’s on the Straw Hats’ side!;8;9.08;2013-03-24;false
Robots and Empire (2018);Isaac Asimov;HarperCollins UK;448;24.30x14.13x1.44 cm;;Long ago, Gladia's robots Daneel and Giskard played a vital role in opening the worlds beyond the Solar system to Settlers from Earth. Now the conscience-stricken robots are faced with an even greater challenge. Either the sacred Three Laws of Robotics are in ruins - or a new, superior Law must be established to bring peace to the galaxy. With Madam Gladia and D.G. Baley - the captain of the Settler traders and a descendant of the robots' friend Elijah Baley - Daneel and Giskard travel to the robot stronghold of Solaria...where they uncover a sinister Spacer plot to destroy Earth itself.;36;11.26;2013-04-18;false
Sherlock Holmes - The Complete Collection (2023);Arthur Conan Doyle;Read Books Ltd;1481;22.48x13.21x2.12 cm;;This complete collection of the original Sherlock Holmes novels and short stories is a treasure trove of Arthur Conan Doyle’s intricate detective fiction. Experience the full scope of Sherlock Holmes's detective abilities in this comprehensive, unabridged collection of Arthur Conan Doyle's works. Featuring all four of the original novels alongside the 56 short stories, this volume encompasses the remarkable legacy of literature’s favourite sleuth. Printed in publication order, follow the legendary detective and his companion, Doctor Watson, as they navigate their way through complex cases, uncovering hidden secrets, solving intricate puzzles, and bringing criminals to justice. Whether you're a lifelong fan of Sherlock Holmes or are discovering the detective for the first time, this beautiful collection from Read & Co. Books is the perfect way to immerse yourself in Arthur Conan Doyle’s iconic world. This collector's edition features a specially commissioned introduction alongside an article by the author and an essay on the history of detective fiction by S.S. Van Dine;23;9.05;2013-04-23;false
